player_id,player,season,age,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,x2p_percent,x3p_percent,ft_percent,x3p_ar,f_tr,usg_percent,orb_percent,drb_percent,ows,dws,obpm,dbpm,all_nba
acyqu01,Quincy Acy,2015,24.0,5.9,4.4,1.0,0.4,0.3,0.494,0.3,0.784,0.181,0.293,15.5,6.9,20.5,1.0,0.7,-2.1,-1.0,0
adamsst01,Steven Adams,2015,21.0,7.7,7.5,0.9,0.5,1.2,0.547,0.0,0.502,0.005,0.514,14.3,12.2,19.3,1.9,2.2,-1.5,0.2,0
afflaar01,Arron Afflalo,2015,29.0,13.9,3.3,1.8,0.55,0.1,0.474,0.346,0.842,0.374,0.227,19.45,1.2,9.95,1.5,0.7,-1.05,-1.15,0
ajincal01,Alexis Ajinça,2015,26.0,6.5,4.6,0.7,0.3,0.8,0.55,0.0,0.818,0.0,0.301,21.1,12.4,25.0,1.9,1.2,-0.7,0.4,0
aldrico01,Cole Aldrich,2015,26.0,5.5,5.5,1.2,0.6,1.1,0.478,0.0,0.781,0.0,0.213,18.3,11.6,28.9,0.8,1.4,-0.8,1.1,0
aldrila01,LaMarcus Aldridge,2015,29.0,23.4,10.2,1.7,0.7,1.0,0.475,0.352,0.845,0.074,0.256,30.2,7.7,22.9,4.9,3.7,3.2,-0.3,1
allenla01,Lavoy Allen,2015,25.0,5.0,5.1,1.2,0.2,0.7,0.472,0.0,0.702,0.0,0.157,15.2,12.8,20.5,1.3,1.6,-0.5,0.5,0
allento01,Tony Allen,2015,33.0,8.6,4.4,1.4,2.0,0.5,0.505,0.345,0.627,0.064,0.277,16.6,7.2,12.2,0.9,3.2,-1.5,3.1,0
aminual01,Al-Farouq Aminu,2015,24.0,5.6,4.6,0.8,0.9,0.8,0.485,0.274,0.712,0.347,0.331,15.2,9.1,18.4,1.2,2.0,-0.7,1.5,0
amundlo01,Lou Amundson,2015,32.0,4.9,5.1,1.3,0.4,1.0,0.429,0.0,0.471,0.004,0.341,17.4,11.3,22.0,-0.6,0.9,-4.1,-0.2,0
anderal01,Alan Anderson,2015,32.0,7.4,2.8,1.1,0.8,0.1,0.53,0.348,0.812,0.477,0.23,14.2,2.0,11.1,1.7,1.1,-1.7,0.2,0
anderch01,Chris Andersen,2015,36.0,5.3,5.0,0.7,0.4,1.0,0.598,0.308,0.667,0.063,0.551,12.3,8.2,23.2,2.1,1.5,0.0,1.0,0
anderry01,Ryan Anderson,2015,26.0,13.7,4.8,0.9,0.5,0.3,0.457,0.34,0.854,0.492,0.207,23.4,7.3,12.7,2.6,0.9,1.8,-2.1,0
antetgi01,Giannis Antetokounmpo,2015,20.0,12.7,6.7,2.6,0.9,1.0,0.511,0.159,0.741,0.056,0.445,19.6,4.5,19.7,2.2,4.0,-1.2,1.2,0
anthojo01,Joel Anthony,2015,32.0,1.8,1.9,0.1,0.2,1.0,0.581,0.0,0.682,0.0,0.355,9.1,8.2,17.0,0.5,0.7,-2.9,3.1,0
anticpe01,Pero Antić,2015,32.0,5.7,3.0,0.8,0.3,0.2,0.455,0.301,0.715,0.584,0.416,17.6,6.6,14.0,0.5,1.0,-3.0,-1.2,0
arizatr01,Trevor Ariza,2015,29.0,12.8,5.6,2.5,1.9,0.2,0.485,0.35,0.853,0.61,0.157,16.5,2.9,14.4,2.7,3.9,-0.1,1.1,0
